date,team,plays
2026-03-31,SEA,1
2026-03-31,TBL,1
2026-03-31,WPG,1
2026-03-31,WSH,1
2026-04-01,ANA,1
2026-04-01,COL,1
2026-04-01,LAK,1
2026-04-01,SJS,1
2026-04-01,STL,1
2026-04-01,VAN,1
2026-04-02,BOS,1
2026-04-02,BUF,1
2026-04-02,CAR,1
2026-04-02,CBJ,1
2026-04-02,CGY,1
2026-04-02,CHI,1
2026-04-02,DAL,1
2026-04-02,DET,1
2026-04-02,EDM,1
2026-04-02,FLA,1
2026-04-02,LAK,1
2026-04-02,MIN,1
2026-04-02,MTL,1
2026-04-02,NJD,1
2026-04-02,NSH,1
2026-04-02,NYR,1
2026-04-02,OTT,1
2026-04-02,PHI,1
2026-04-02,PIT,1
2026-04-02,SEA,1
2026-04-02,SJS,1
2026-04-02,TBL,1
2026-04-02,TOR,1
2026-04-02,UTA,1
2026-04-02,VAN,1
2026-04-02,VGK,1
2026-04-02,WPG,1
2026-04-02,WSH,1
2026-04-03,ANA,1
2026-04-03,NYI,1
2026-04-03,PHI,1
2026-04-03,STL,1
2026-04-04,ANA,1
2026-04-04,BOS,1
2026-04-04,BUF,1
2026-04-04,CAR,1
2026-04-04,CBJ,1
2026-04-04,CGY,1
2026-04-04,CHI,1
2026-04-04,COL,1
2026-04-04,DAL,1
2026-04-04,DET,1
2026-04-04,EDM,1
2026-04-04,FLA,1
2026-04-04,LAK,1
2026-04-04,MIN,1
2026-04-04,MTL,1
2026-04-04,NJD,1
2026-04-04,NSH,1
2026-04-04,NYI,1
2026-04-04,NYR,1
2026-04-04,OTT,1
2026-04-04,PIT,1
2026-04-04,SEA,1
2026-04-04,SJS,1
2026-04-04,TBL,1
2026-04-04,TOR,1
2026-04-04,UTA,1
2026-04-04,VAN,1
2026-04-04,VGK,1
2026-04-04,WPG,1
2026-04-04,WSH,1
2026-04-05,BOS,1
2026-04-05,CAR,1
2026-04-05,COL,1
2026-04-05,DET,1
2026-04-05,FLA,1
2026-04-05,MIN,1
2026-04-05,MTL,1
2026-04-05,NJD,1
2026-04-05,NYR,1
2026-04-05,OTT,1
2026-04-05,PHI,1
2026-04-05,PIT,1
2026-04-05,STL,1
2026-04-05,WSH,1
